feature_code,date_code,value_per_one_hundred_thousand_people,alcohol_condition,type_of_hospital
NHS Lanarkshire,2017/2018,175.5,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2014/2015,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Borders,2015/2016,27,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Borders,2016/2017,48.4,All other Alcoholic Conditions,Psychiatric Hospital
NHS Western Isles,2016/2017,805.8,All other Alcoholic Conditions,General Acute Hospital
NHS Shetland,2018/2019,92.6,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2013/2014,683.2,All other Alcoholic Conditions,General Acute Hospital
NHS Shetland,2014/2015,576,All other Alcoholic Conditions,General Acute Hospital
NHS Shetland,2018/2019,618.4,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2014/2015,83.8,Alcoholic Liver Disease,General Acute Hospital
NHS Borders,2017/2018,60.2,Alcoholic Liver Disease,General Acute Hospital
NHS Borders,2015/2016,70.1,Alcoholic Liver Disease,General Acute Hospital
NHS Borders,2010/2011,49.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Western Isles,2016/2017,632.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Borders,2017/2018,38,All other Alcoholic Conditions,Psychiatric Hospital
NHS Western Isles,2011/2012,76.5,Alcoholic Liver Disease,General Acute Hospital
NHS Western Isles,2017/2018,568.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Shetland,2017/2018,525.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Borders,2014/2015,24,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Borders,2011/2012,497.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Borders,2017/2018,408.2,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2010/2011,49.9,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Borders,2015/2016,346.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Lanarkshire,2015/2016,164,Alcoholic Liver Disease,General Acute Hospital
NHS Western Isles,2010/2011,21.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Borders,2016/2017,48.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lanarkshire,2016/2017,172.2,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2011/2012,553,Mental and Behavioural Disorders,General Acute Hospital
NHS Lanarkshire,2010/2011,623.6,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2013/2014,753.2,All other Alcoholic Conditions,General Acute Hospital
NHS Shetland,2012/2013,65.1,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2017/2018,812.3,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2010/2011,423.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Lanarkshire,2015/2016,765.3,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2014/2015,729.6,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2014/2015,24,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lanarkshire,2011/2012,721.7,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2012/2013,705.5,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2017/2018,324.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Shetland,2015/2016,65.7,Alcoholic Liver Disease,General Acute Hospital
NHS Western Isles,2011/2012,756.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Western Isles,2013/2014,15,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lanarkshire,2018/2019,52.7,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lanarkshire,2011/2012,124,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2012/2013,134.4,Alcoholic Liver Disease,General Acute Hospital
NHS Western Isles,2013/2014,871.4,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2013/2014,44.1,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lanarkshire,2010/2011,113.9,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2017/2018,60.5,Alcoholic Liver Disease,General Acute Hospital
NHS Borders,2012/2013,74.1,Alcoholic Liver Disease,General Acute Hospital
NHS Borders,2018/2019,345,Mental and Behavioural Disorders,General Acute Hospital
NHS Western Isles,2012/2013,636.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Western Isles,2015/2016,510.1,Mental and Behavioural Disorders,General Acute Hospital
NHS Western Isles,2018/2019,807.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Western Isles,2010/2011,21.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Western Isles,2014/2015,618.1,All other Alcoholic Conditions,General Acute Hospital
NHS Western Isles,2010/2011,93.8,Alcoholic Liver Disease,General Acute Hospital
NHS Western Isles,2013/2014,102.8,Alcoholic Liver Disease,General Acute Hospital
NHS Western Isles,2010/2011,1046.6,All other Alcoholic Conditions,General Acute Hospital
NHS Western Isles,2018/2019,52.7,Alcoholic Liver Disease,General Acute Hospital
NHS Western Isles,2012/2013,804.2,All other Alcoholic Conditions,General Acute Hospital
NHS Western Isles,2011/2012,929.9,All other Alcoholic Conditions,General Acute Hospital
NHS Western Isles,2014/2015,97.6,Alcoholic Liver Disease,General Acute Hospital
NHS Western Isles,2015/2016,23,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Western Isles,2015/2016,83.7,Alcoholic Liver Disease,General Acute Hospital
NHS Western Isles,2016/2017,10.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Western Isles,2018/2019,11.1,All other Alcoholic Conditions,Psychiatric Hospital
NHS Western Isles,2018/2019,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Western Isles,2015/2016,23,All other Alcoholic Conditions,Psychiatric Hospital
NHS Western Isles,2015/2016,710.2,All other Alcoholic Conditions,General Acute Hospital
NHS Western Isles,2017/2018,21.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Ayrshire and Arran,2018/2019,592.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2018/2019,85.2,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Shetland,2014/2015,475.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2011/2012,744.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2012/2013,90.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Shetland,2010/2011,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Shetland,2013/2014,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2014/2015,83.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2010/2011,803,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2015/2016,569,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2017/2018,595.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2013/2014,628.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Shetland,2015/2016,526.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Western Isles,2017/2018,14.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2012/2013,661,Mental and Behavioural Disorders,General Acute Hospital
NHS Western Isles,2012/2013,20.1,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2016/2017,619,Mental and Behavioural Disorders,General Acute Hospital
NHS Shetland,2015/2016,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Western Isles,2016/2017,77.6,Alcoholic Liver Disease,General Acute Hospital
NHS Ayrshire and Arran,2016/2017,75.7,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2016/2017,76.4,All other Alcoholic Conditions,Psychiatric Hospital
NHS Shetland,2012/2013,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2016/2017,786.5,All other Alcoholic Conditions,General Acute Hospital
NHS Western Isles,2012/2013,24.5,All other Alcoholic Conditions,Psychiatric Hospital
NHS Ayrshire and Arran,2018/2019,86.1,All other Alcoholic Conditions,Psychiatric Hospital
NHS Shetland,2015/2016,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Ayrshire and Arran,2013/2014,87.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Shetland,2010/2011,613.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Western Isles,2012/2013,61.7,Alcoholic Liver Disease,General Acute Hospital
NHS Ayrshire and Arran,2012/2013,850.2,All other Alcoholic Conditions,General Acute Hospital
NHS Ayrshire and Arran,2011/2012,972.9,All other Alcoholic Conditions,General Acute Hospital
NHS Western Isles,2010/2011,681.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2010/2011,106.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Shetland,2013/2014,538.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Shetland,2018/2019,507,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2014/2015,150.1,Alcoholic Liver Disease,General Acute Hospital
NHS Ayrshire and Arran,2014/2015,587.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2011/2012,99.4,All other Alcoholic Conditions,Psychiatric Hospital
NHS Ayrshire and Arran,2013/2014,87.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Western Isles,2017/2018,37.5,Alcoholic Liver Disease,General Acute Hospital
NHS Ayrshire and Arran,2011/2012,99.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2017/2018,91.3,All other Alcoholic Conditions,Psychiatric Hospital
NHS Western Isles,2018/2019,995.5,All other Alcoholic Conditions,General Acute Hospital
NHS Western Isles,2013/2014,10.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2017/2018,139.7,Alcoholic Liver Disease,General Acute Hospital
NHS Ayrshire and Arran,2010/2011,106.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2015/2016,136,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2013/2014,54.2,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lothian,2015/2016,48.7,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lothian,2014/2015,49.3,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2012/2013,536,All other Alcoholic Conditions,General Acute Hospital
NHS Grampian,2011/2012,618.6,All other Alcoholic Conditions,General Acute Hospital
NHS Grampian,2015/2016,490.5,All other Alcoholic Conditions,General Acute Hospital
NHS Fife,2010/2011,317.5,Mental and Behavioural Disorders,General Acute Hospital
NHS Fife,2018/2019,496.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Fife,2013/2014,483.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Lothian,2013/2014,457.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2016/2017,491.3,All other Alcoholic Conditions,General Acute Hospital
NHS Fife,2016/2017,478.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2016/2017,21.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2011/2012,107.4,Alcoholic Liver Disease,General Acute Hospital
NHS Grampian,2011/2012,18.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2015/2016,101.5,Alcoholic Liver Disease,General Acute Hospital
NHS Grampian,2010/2011,20.5,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lothian,2018/2019,523.3,All other Alcoholic Conditions,General Acute Hospital
NHS Grampian,2018/2019,492.4,All other Alcoholic Conditions,General Acute Hospital
NHS Grampian,2018/2019,18,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Fife,2017/2018,482.2,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2017/2018,489.1,All other Alcoholic Conditions,General Acute Hospital
NHS Lothian,2015/2016,417.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2011/2012,86.2,Alcoholic Liver Disease,General Acute Hospital
NHS Tayside,2010/2011,111.9,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2017/2018,42.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Fife,2014/2015,468.5,Mental and Behavioural Disorders,General Acute Hospital
NHS Lothian,2010/2011,64.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lothian,2016/2017,45.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lothian,2014/2015,49.2,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lothian,2010/2011,669.6,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2014/2015,99.3,Alcoholic Liver Disease,General Acute Hospital
NHS Tayside,2015/2016,80.9,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2011/2012,138.7,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2018/2019,112.1,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2012/2013,629.2,All other Alcoholic Conditions,General Acute Hospital
NHS Lothian,2014/2015,603.8,All other Alcoholic Conditions,General Acute Hospital
NHS Fife,2015/2016,461.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Fife,2011/2012,346.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Fife,2012/2013,444.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2013/2014,92.1,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2013/2014,610.6,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2012/2013,83.1,Alcoholic Liver Disease,General Acute Hospital
NHS Tayside,2016/2017,102.9,Alcoholic Liver Disease,General Acute Hospital
NHS Tayside,2017/2018,117.3,Alcoholic Liver Disease,General Acute Hospital
NHS Tayside,2018/2019,110.8,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2012/2013,131.6,Alcoholic Liver Disease,General Acute Hospital
NHS Grampian,2011/2012,468.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2010/2011,452.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2015/2016,12.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Grampian,2014/2015,368.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Greater Glasgow and Clyde,2010/2011,66.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Grampian,2015/2016,356.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Lothian,2012/2013,57.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2017/2018,19,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lothian,2010/2011,65,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2013/2014,15.5,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2016/2017,93.3,Alcoholic Liver Disease,General Acute Hospital
NHS Forth Valley,2011/2012,72.3,Alcoholic Liver Disease,General Acute Hospital
NHS Orkney,2013/2014,1330.1,Mental and Behavioural Disorders,General Acute Hospital
NHS Orkney,2012/2013,1429.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2018/2019,87.4,Alcoholic Liver Disease,General Acute Hospital
NHS Orkney,2018/2019,177.5,Alcoholic Liver Disease,General Acute Hospital
NHS Greater Glasgow and Clyde,2015/2016,64.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Grampian,2015/2016,12.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lothian,2017/2018,43.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2014/2015,486.5,All other Alcoholic Conditions,General Acute Hospital
NHS Grampian,2014/2015,11.3,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2010/2011,98.5,Alcoholic Liver Disease,General Acute Hospital
NHS Grampian,2018/2019,18.3,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2013/2014,532.1,All other Alcoholic Conditions,General Acute Hospital
NHS Grampian,2010/2011,19.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lothian,2011/2012,61.5,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lothian,2012/2013,463.5,Mental and Behavioural Disorders,General Acute Hospital
NHS Lothian,2018/2019,42.2,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2018/2019,89.2,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2016/2017,46.1,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2012/2013,16.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Grampian,2017/2018,355.1,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2014/2015,11.1,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Grampian,2011/2012,18.7,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Grampian,2018/2019,347.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2013/2014,401.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2016/2017,367.2,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2017/2018,19,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2014/2015,92.2,Alcoholic Liver Disease,General Acute Hospital
NHS Grampian,2012/2013,90.7,Alcoholic Liver Disease,General Acute Hospital
NHS Grampian,2012/2013,16.7,All other Alcoholic Conditions,Psychiatric Hospital
NHS Grampian,2017/2018,98.3,Alcoholic Liver Disease,General Acute Hospital
NHS Grampian,2013/2014,15.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Grampian,2012/2013,410.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2016/2017,87.8,Alcoholic Liver Disease,General Acute Hospital
NHS Grampian,2013/2014,92.8,Alcoholic Liver Disease,General Acute Hospital
NHS Grampian,2016/2017,21.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2017/2018,606.9,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2016/2017,46.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2018/2019,42.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2013/2014,24.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2012/2013,23,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2011/2012,37.4,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2010/2011,39.7,All other Alcoholic Conditions,Psychiatric Hospital
NHS Highland,2014/2015,679.9,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2011/2012,75.6,Alcoholic Liver Disease,General Acute Hospital
NHS Fife,2011/2012,554.3,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2014/2015,56.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2010/2011,96.6,Alcoholic Liver Disease,General Acute Hospital
NHS Highland,2013/2014,78.9,Alcoholic Liver Disease,General Acute Hospital
NHS Highland,2018/2019,41.7,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2011/2012,65.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Fife,2017/2018,23.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lothian,2013/2014,53.9,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Fife,2011/2012,37.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Fife,2010/2011,39.7,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2011/2012,567.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Highland,2015/2016,58.2,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2013/2014,637,All other Alcoholic Conditions,General Acute Hospital
NHS Fife,2014/2015,630,All other Alcoholic Conditions,General Acute Hospital
NHS Fife,2018/2019,674.1,All other Alcoholic Conditions,General Acute Hospital
NHS Fife,2010/2011,613.6,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2014/2015,57.4,All other Alcoholic Conditions,Psychiatric Hospital
NHS Highland,2010/2011,71.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Highland,2014/2015,524.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Highland,2015/2016,661.1,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2016/2017,97.3,Alcoholic Liver Disease,General Acute Hospital
NHS Fife,2017/2018,644.7,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2013/2014,667.6,All other Alcoholic Conditions,General Acute Hospital
NHS Fife,2012/2013,628.3,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2013/2014,63.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2011/2012,733.3,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2018/2019,643.8,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2010/2011,583.5,Mental and Behavioural Disorders,General Acute Hospital
NHS Highland,2012/2013,101.2,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2016/2017,145.6,Alcoholic Liver Disease,General Acute Hospital
NHS Fife,2017/2018,23.3,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2013/2014,95.6,Alcoholic Liver Disease,General Acute Hospital
NHS Fife,2016/2017,108.4,Alcoholic Liver Disease,General Acute Hospital
NHS Fife,2016/2017,28.1,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2014/2015,25.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2015/2016,101.8,Alcoholic Liver Disease,General Acute Hospital
NHS Highland,2014/2015,97.1,Alcoholic Liver Disease,General Acute Hospital
NHS Highland,2015/2016,111.3,Alcoholic Liver Disease,General Acute Hospital
NHS Highland,2017/2018,51.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2014/2015,25.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lothian,2014/2015,126.4,Alcoholic Liver Disease,General Acute Hospital
NHS Fife,2014/2015,101,Alcoholic Liver Disease,General Acute Hospital
NHS Fife,2016/2017,28.1,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Fife,2013/2014,24.8,Mental and Behavioural Disorders,Psychiatric Hospital
